方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,88,Middle60,-0.0008524093115498504,0.06939470293850851,0.06854229362695868,0.0008009071821946305,0.7059883201873163,0.3725454003215418
Full-CP μ1,88,Tail20,-0.023259926092578105,0.014998334275636191,-0.0082615918169419,-0.003373898348460595,0.05789317855669651,0.014105282643868122
Full-CP μ1,88,Many35,0.30658344259691533,-0.20589927264460015,0.10068416995231518,0.001171778072001017,0.46221558609977365,0.8134968126760214
Full-CP μ1,88,Medium35,0.11502739269086108,-0.07632543967213914,0.03870195301872197,0.0014299790686743115,0.3914449590665754,0.15838480547245126
Full-CP μ1,88,Few30,-0.0783769105984798,0.06885436551762204,-0.00952254508085775,-0.0027979715167692166,0.14633940294152126,0.028118373607867397
Full-CP μ1,89,Head20,0.6875930742639642,-0.5846236526133443,0.10296942165061979,0.0012599170032036428,0.2423381138505647,0.6133493087909301
Full-CP μ1,89,Middle60,0.004011743405843753,0.07012575155197227,0.07413749495781599,0.0007123179037030122,0.7021388844004832,0.3725454003215418
Full-CP μ1,89,Tail20,-0.03204566116134328,0.021985055597421404,-0.010060605563921854,-0.003343395079912928,0.05552291158528533,0.014105282643868122
Full-CP μ1,89,Many35,0.3283858768956615,-0.19529162938645872,0.13309424750920285,0.0011071965695421463,0.4681451404612744,0.8134968126760214
Full-CP μ1,89,Medium35,0.12555841296064157,-0.06812778040864019,0.05743063255200143,0.0012962620055034686,0.3896392426104285,0.15838480547245126
Full-CP μ1,89,Few30,-0.08454657595225232,0.07248174985427792,-0.012064826097974383,-0.002768384581286717,0.14221552676463034,0.028118373607867397
Full-CP μ1,90,Head20,0.6705490125916154,-0.5955724341271087,0.07497657846450657,0.0013380838784712752,0.24171673017553985,0.6133493087909301
Full-CP μ1,90,Middle60,0.0025999121424791576,0.08123007366649983,0.083829985808979,0.0007721690117021576,0.7046517316484824,0.3725454003215418
Full-CP μ1,90,Tail20,-0.031577845099188095,0.026955105204251605,-0.004622739894936479,-0.003626123866609608,0.053631598013453186,0.014105282643868122
Full-CP μ1,90,Many35,0.3230364390877316,-0.18460610114721093,0.13843033794052076,0.001170352013327444,0.4773123295017285,0.8134968126760214
Full-CP μ1,90,Medium35,0.1178318405792926,-0.07828533752659868,0.039546503052693895,0.0014709626968786513,0.39162091340404004,0.15838480547245126
Full-CP μ1,90,Few30,-0.08316572366495185,0.09008860650387288,0.006922882838921018,-0.0030625557972616844,0.13106681693170685,0.028118373607867397
Full-CP μ3,61,Head20,0.5068121823600279,-0.35043310547558454,0.15637907688444327,0.0007783922874998022,0.2316931152890902,0.6133493087909301
Full-CP μ3,61,Middle60,0.009198189679835685,0.05869237881610327,0.06789056849593894,0.00048572840052068383,0.7071365692390827,0.3725454003215418
Full-CP μ3,61,Tail20,0.0047420243693826105,0.01325204211752861,0.01799406648691123,-0.001674146562193831,0.061170356420916505,0.014105282643868122
Full-CP μ3,61,Many35,0.23529157212895332,-0.08351834753608174,0.1517732245928716,0.0006643441979723572,0.44953907682793215,0.8134968126760214
Full-CP μ3,61,Medium35,0.07051284699700223,-0.025063882107175927,0.045448964889826304,0.0008177889678455972,0.4036466493125772,0.15838480547245126
Full-CP μ3,61,Few30,0.0026606948656635195,0.019276649977303155,0.021937344842966684,-0.0013548680755422647,0.1468143148085801,0.028118373607867397
Full-CP μ3,62,Head20,0.496916943977032,-0.31868407808561805,0.17823286589141404,0.0007570634946113227,0.23773317826271523,0.6133493087909301
Full-CP μ3,62,Middle60,0.005981897464440707,0.05955139465691699,0.0655332921213577,0.0004915342742842227,0.7063160164398141,0.3725454003215418
Full-CP μ3,62,Tail20,0.0024889828637242296,0.01267612096853554,0.01516510383225977,-0.0017350314433375994,0.05595084656670224,0.014105282643868122
Full-CP μ3,62,Many35,0.22731293223140653,-0.06210561766483032,0.16520731456657628,0.0006422558789680428,0.46177419085870497,0.8134968126760214
Full-CP μ3,62,Medium35,0.06825365403703575,-0.033417474535963825,0.03483617950107195,0.0008874032578784017,0.3979149874940049,0.15838480547245126
Full-CP μ3,62,Few30,7.339550953619556e-05,0.02654109213670545,0.026614487646241684,-0.0014535124102365916,0.14031086291652173,0.028118373607867397
Full-CP μ3,63,Head20,0.4986041695600618,-0.3094477786131469,0.18915639094691486,0.0007457771539568125,0.24126941825670656,0.6133493087909301
Full-CP μ3,63,Middle60,0.0126682624200996,0.06029843392486582,0.07296669634496541,0.00048409770765995566,0.6999295263376553,0.3725454003215418
Full-CP μ3,63,Tail20,0.004484931802532326,0.01491554721724242,0.019400479019774753,-0.0017225628493664166,0.05880104195966851,0.014105282643868122
Full-CP μ3,63,Many35,0.23561054313835428,-0.057208508127622765,0.1784020350107315,0.0006342815667959666,0.4634243776090443,0.8134968126760214
Full-CP μ3,63,Medium35,0.07108186065003556,-0.03219538471383524,0.03888647593620033,0.0008771080841413664,0.3925823038443923,0.15838480547245126
Full-CP μ3,63,Few30,0.0029214546621404215,0.028546588567496353,0.03146804322963675,-0.0014462829743800466,0.14399330510059372,0.028118373607867397
Full-CP μ3,64,Head20,0.4996178575629143,-0.3182723573109944,0.1813455002519199,0.000733741315270392,0.2382266015629284,0.6133493087909301
Full-CP μ3,64,Middle60,0.001954643648015439,0.05926725251961643,0.06122189616763184,0.00045495661880624486,0.6996617154800333,0.3725454003215418
Full-CP μ3,64,Tail20,-0.02322440365484605,0.030658466372794145,0.007434062717948111,-0.0017018392301785452,0.06211164113483392,0.014105282643868122
Full-CP μ3,64,Many35,0.22390344580852983,-0.06610908657373572,0.15779435923479415,0.0006212716154759924,0.46109555641305633,0.8134968126760214
Full-CP μ3,64,Medium35,0.0741779213877642,-0.027709824645841652,0.04646809674192253,0.0008079955227748985,0.3915779214730719,0.15838480547245126
Full-CP μ3,64,Few30,-0.026256671827600036,0.03624730750327297,0.00999063567567291,-0.0014029637002856516,0.1473264802916674,0.028118373607867397
Full-CP μ3,65,Head20,0.512766862120343,-0.32433393848520853,0.18843292363513434,0.000772635548588559,0.2425823139201384,0.6133493087909301
Full-CP μ3,65,Middle60,0.002589219164916133,0.06898913081686477,0.07157834998178092,0.00044034904121836236,0.7030414280452533,0.3725454003215418
Full-CP μ3,65,Tail20,-0.0321640633046627,0.04641834530048072,0.01425428199581802,-0.0019388215012925987,0.0543762144370703,0.014105282643868122
Full-CP μ3,65,Many35,0.2318279727905568,-0.05887609159060783,0.17295188119994895,0.0006430560131016747,0.4676380613964284,0.8134968126760214
Full-CP μ3,65,Medium35,0.07686878486933299,-0.03278756492841053,0.04408121994092246,0.0008474490638409311,0.3905486619769363,0.15838480547245126
Full-CP μ3,65,Few30,-0.034565913062918965,0.05964213211609908,0.025076219053180124,-0.0016356818091323414,0.14181323302909732,0.028118373607867397
